car_ID,CarBrand,CarHonda,CarNissan,CarSubaru,CarToyota,CarVolvo,fueltype,aspiration,aspirationDV,doornumber,carbody,cb_hatchback,cb_sedan,cb_wagon,drivewheel,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,PriceDV,Validation Column,price
11,Honda,1,0,0,0,0,gas,std,1,four,sedan,0,1,0,fwd,96.5,175.4,62.5,54.1,2372,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,0,Training,10295
12,Honda,1,0,0,0,0,gas,std,1,four,sedan,0,1,0,fwd,96.5,175.4,65.2,54.1,2465,ohc,four,110,mpfi,3.15,3.58,9,101,5800,24,28,1,Validation,12945
13,Honda,1,0,0,0,0,gas,std,1,two,sedan,0,1,0,fwd,96.5,169.1,66,51,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100,5500,25,31,0,Validation,10345
14,Nissan,0,1,0,0,0,gas,std,1,two,sedan,0,1,0,fwd,94.5,165.3,63.8,54.5,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,0,Validation,5499
15,Nissan,0,1,0,0,0,diesel,std,1,two,sedan,0,1,0,fwd,94.5,165.3,63.8,54.5,2017,ohc,four,103,idi,2.99,3.47,21.9,55,4800,45,50,0,Validation,7099
16,Nissan,0,1,0,0,0,gas,std,1,two,sedan,0,1,0,fwd,94.5,165.3,63.8,54.5,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,0,Training,6649
17,Nissan,0,1,0,0,0,gas,std,1,four,sedan,0,1,0,fwd,94.5,165.3,63.8,54.5,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,0,Validation,6849
18,Nissan,0,1,0,0,0,gas,std,1,four,wagon,0,0,1,fwd,94.5,170.2,63.8,53.5,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,0,Training,7349
19,Nissan,0,1,0,0,0,gas,std,1,two,sedan,0,1,0,fwd,94.5,165.3,63.8,54.5,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,0,Training,7299
20,Nissan,0,1,0,0,0,gas,std,1,two,hatchback,1,0,0,fwd,94.5,165.6,63.8,53.3,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,0,Validation,7799
21,Nissan,0,1,0,0,0,gas,std,1,four,sedan,0,1,0,fwd,94.5,165.3,63.8,54.5,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,0,Validation,7499
22,Nissan,0,1,0,0,0,gas,std,1,four,wagon,0,0,1,fwd,94.5,170.2,63.8,53.5,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,0,Validation,7999
23,Nissan,0,1,0,0,0,gas,std,1,two,hardtop,0,0,0,fwd,95.1,162.4,63.8,53.3,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,0,Validation,8249
24,Nissan,0,1,0,0,0,gas,std,1,four,hatchback,1,0,0,fwd,97.2,173.4,65.2,54.7,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,27,34,0,Training,8949
25,Nissan,0,1,0,0,0,gas,std,1,four,sedan,0,1,0,fwd,97.2,173.4,65.2,54.7,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,27,34,0,Training,9549
26,Nissan,0,1,0,0,0,gas,std,1,four,sedan,0,1,0,fwd,100.4,181.7,66.5,55.1,3095,ohcv,six,181,mpfi,3.43,3.27,9,152,5200,17,22,1,Validation,13499
27,Nissan,0,1,0,0,0,gas,std,1,four,wagon,0,0,1,fwd,100.4,184.6,66.5,56.1,3296,ohcv,six,181,mpfi,3.43,3.27,9,152,5200,17,22,1,Training,14399
28,Nissan,0,1,0,0,0,gas,std,1,four,sedan,0,1,0,fwd,100.4,184.6,66.5,55.1,3060,ohcv,six,181,mpfi,3.43,3.27,9,152,5200,19,25,1,Training,13499
29,Nissan,0,1,0,0,0,gas,std,1,two,hatchback,1,0,0,rwd,91.3,170.7,67.9,49.7,3071,ohcv,six,181,mpfi,3.43,3.27,9,160,5200,19,25,1,Validation,17199
30,Nissan,0,1,0,0,0,gas,turbo,0,two,hatchback,1,0,0,rwd,91.3,170.7,67.9,49.7,3139,ohcv,six,181,mpfi,3.43,3.27,7.8,200,5200,17,23,1,Training,19699
31,Nissan,0,1,0,0,0,gas,std,1,two,hatchback,1,0,0,rwd,99.2,178.5,67.9,49.7,3139,ohcv,six,181,mpfi,3.43,3.27,9,160,5200,19,25,1,Validation,18399
32,Subaru,0,0,1,0,0,gas,std,1,two,hatchback,1,0,0,fwd,93.7,156.9,63.4,53.7,2050,ohcf,four,97,2bbl,3.62,2.36,9,69,4900,31,36,0,Training,5118
33,Subaru,0,0,1,0,0,gas,std,1,two,hatchback,1,0,0,fwd,93.7,157.9,63.6,53.7,2120,ohcf,four,108,2bbl,3.62,2.64,8.7,73,4400,26,31,0,Training,7053
34,Subaru,0,0,1,0,0,gas,std,1,two,hatchback,1,0,0,4wd,93.3,157.3,63.8,55.7,2240,ohcf,four,108,2bbl,3.62,2.64,8.7,73,4400,26,31,0,Training,7603
35,Subaru,0,0,1,0,0,gas,std,1,four,sedan,0,1,0,fwd,97.2,172,65.4,52.5,2145,ohcf,four,108,2bbl,3.62,2.64,9.5,82,4800,32,37,0,Training,7126
36,Subaru,0,0,1,0,0,gas,std,1,four,sedan,0,1,0,fwd,97.2,172,65.4,52.5,2190,ohcf,four,108,2bbl,3.62,2.64,9.5,82,4400,28,33,0,Validation,7775
37,Subaru,0,0,1,0,0,gas,std,1,four,sedan,0,1,0,fwd,97.2,172,65.4,52.5,2340,ohcf,four,108,mpfi,3.62,2.64,9,94,5200,26,32,0,Validation,9960
38,Subaru,0,0,1,0,0,gas,std,1,four,sedan,0,1,0,4wd,97,172,65.4,54.3,2385,ohcf,four,108,2bbl,3.62,2.64,9,82,4800,24,25,0,Validation,9233
39,Subaru,0,0,1,0,0,gas,turbo,0,four,sedan,0,1,0,4wd,97,172,65.4,54.3,2510,ohcf,four,108,mpfi,3.62,2.64,7.7,111,4800,24,29,1,Validation,11259
40,Subaru,0,0,1,0,0,gas,std,1,four,wagon,0,0,1,fwd,97,173.5,65.4,53,2290,ohcf,four,108,2bbl,3.62,2.64,9,82,4800,28,32,0,Validation,7463
41,Subaru,0,0,1,0,0,gas,std,1,four,wagon,0,0,1,fwd,97,173.5,65.4,53,2455,ohcf,four,108,mpfi,3.62,2.64,9,94,5200,25,31,0,Training,10198
42,Subaru,0,0,1,0,0,gas,std,1,four,wagon,0,0,1,4wd,96.9,173.6,65.4,54.9,2420,ohcf,four,108,2bbl,3.62,2.64,9,82,4800,23,29,0,Training,8013
43,Subaru,0,0,1,0,0,gas,turbo,0,four,wagon,0,0,1,4wd,96.9,173.6,65.4,54.9,2650,ohcf,four,108,mpfi,3.62,2.64,7.7,111,4800,23,23,1,Training,11694
44,Toyota,0,0,0,1,0,gas,std,1,two,hatchback,1,0,0,fwd,95.7,158.7,63.6,54.5,1985,ohc,four,92,2bbl,3.05,3.03,9,62,4800,35,39,0,Training,5348
45,Toyota,0,0,0,1,0,gas,std,1,two,hatchback,1,0,0,fwd,95.7,158.7,63.6,54.5,2040,ohc,four,92,2bbl,3.05,3.03,9,62,4800,31,38,0,Training,6338
46,Toyota,0,0,0,1,0,gas,std,1,four,hatchback,1,0,0,fwd,95.7,158.7,63.6,54.5,2015,ohc,four,92,2bbl,3.05,3.03,9,62,4800,31,38,0,Training,6488
47,Toyota,0,0,0,1,0,gas,std,1,four,wagon,0,0,1,fwd,95.7,169.7,63.6,59.1,2280,ohc,four,92,2bbl,3.05,3.03,9,62,4800,31,37,0,Training,6918
48,Toyota,0,0,0,1,0,gas,std,1,four,wagon,0,0,1,4wd,95.7,169.7,63.6,59.1,2290,ohc,four,92,2bbl,3.05,3.03,9,62,4800,27,32,0,Validation,7898
49,Toyota,0,0,0,1,0,gas,std,1,four,wagon,0,0,1,4wd,95.7,169.7,63.6,59.1,3110,ohc,four,92,2bbl,3.05,3.03,9,62,4800,27,32,0,Validation,8778
50,Toyota,0,0,0,1,0,gas,std,1,four,sedan,0,1,0,fwd,95.7,166.3,64.4,53,2081,ohc,four,98,2bbl,3.19,3.03,9,70,4800,30,37,0,Training,6938
51,Toyota,0,0,0,1,0,gas,std,1,four,hatchback,1,0,0,fwd,95.7,166.3,64.4,52.8,2109,ohc,four,98,2bbl,3.19,3.03,9,70,4800,30,37,0,Validation,7198
52,Toyota,0,0,0,1,0,diesel,std,1,four,sedan,0,1,0,fwd,95.7,166.3,64.4,53,2275,ohc,four,110,idi,3.27,3.35,22.5,56,4500,34,36,0,Training,7898
53,Toyota,0,0,0,1,0,diesel,std,1,four,hatchback,1,0,0,fwd,95.7,166.3,64.4,52.8,2275,ohc,four,110,idi,3.27,3.35,22.5,56,4500,38,47,0,Training,7788
54,Toyota,0,0,0,1,0,gas,std,1,four,sedan,0,1,0,fwd,95.7,166.3,64.4,53,2094,ohc,four,98,2bbl,3.19,3.03,9,70,4800,38,47,0,Training,7738
55,Toyota,0,0,0,1,0,gas,std,1,four,hatchback,1,0,0,fwd,95.7,166.3,64.4,52.8,2122,ohc,four,98,2bbl,3.19,3.03,9,70,4800,28,34,0,Training,8358
56,Toyota,0,0,0,1,0,gas,std,1,four,sedan,0,1,0,fwd,95.7,166.3,64.4,52.8,2140,ohc,four,98,2bbl,3.19,3.03,9,70,4800,28,34,0,Training,9258
57,Toyota,0,0,0,1,0,gas,std,1,two,sedan,0,1,0,rwd,94.5,168.7,64,52.6,2169,ohc,four,98,2bbl,3.19,3.03,9,70,4800,29,34,0,Validation,8058
58,Toyota,0,0,0,1,0,gas,std,1,two,hatchback,1,0,0,rwd,94.5,168.7,64,52.6,2204,ohc,four,98,2bbl,3.19,3.03,9,70,4800,29,34,0,Validation,8238
59,Toyota,0,0,0,1,0,gas,std,1,two,sedan,0,1,0,rwd,94.5,168.7,64,52.6,2265,dohc,four,98,mpfi,3.24,3.08,9.4,112,6600,26,29,0,Training,9298
60,Toyota,0,0,0,1,0,gas,std,1,two,hatchback,1,0,0,rwd,94.5,168.7,64,52.6,2300,dohc,four,98,mpfi,3.24,3.08,9.4,112,6600,26,29,0,Training,9538
61,Toyota,0,0,0,1,0,gas,std,1,two,hardtop,0,0,0,rwd,98.4,176.2,65.6,52,2540,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,0,Training,8449
62,Toyota,0,0,0,1,0,gas,std,1,two,hardtop,0,0,0,rwd,98.4,176.2,65.6,52,2536,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,0,Training,9639
63,Toyota,0,0,0,1,0,gas,std,1,two,hatchback,1,0,0,rwd,98.4,176.2,65.6,52,2551,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,0,Training,9989
64,Toyota,0,0,0,1,0,gas,std,1,two,hardtop,0,0,0,rwd,98.4,176.2,65.6,52,2679,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,1,Validation,11199
65,Toyota,0,0,0,1,0,gas,std,1,two,hatchback,1,0,0,rwd,98.4,176.2,65.6,52,2714,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,1,Validation,11549
66,Toyota,0,0,0,1,0,gas,std,1,two,convertible,0,0,0,rwd,98.4,176.2,65.6,53,2975,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,1,Training,17669
67,Toyota,0,0,0,1,0,gas,std,1,four,sedan,0,1,0,fwd,102.4,175.6,66.5,54.9,2326,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,29,34,0,Validation,8948
68,Toyota,0,0,0,1,0,diesel,turbo,0,four,sedan,0,1,0,fwd,102.4,175.6,66.5,54.9,2480,ohc,four,110,idi,3.27,3.35,22.5,73,4500,30,33,1,Training,10698
69,Toyota,0,0,0,1,0,gas,std,1,four,hatchback,1,0,0,fwd,102.4,175.6,66.5,53.9,2414,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,27,32,0,Training,9988
70,Toyota,0,0,0,1,0,gas,std,1,four,sedan,0,1,0,fwd,102.4,175.6,66.5,54.9,2414,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,27,32,1,Training,10898
71,Toyota,0,0,0,1,0,gas,std,1,four,hatchback,1,0,0,fwd,102.4,175.6,66.5,53.9,2458,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,27,32,1,Training,11248
72,Toyota,0,0,0,1,0,gas,std,1,two,hatchback,1,0,0,rwd,102.9,183.5,67.7,52,2976,dohc,six,171,mpfi,3.27,3.35,9.3,161,5200,20,24,1,Training,16558
73,Toyota,0,0,0,1,0,gas,std,1,two,hatchback,1,0,0,rwd,102.9,183.5,67.7,52,3016,dohc,six,171,mpfi,3.27,3.35,9.3,161,5200,19,24,1,Training,15998
74,Toyota,0,0,0,1,0,gas,std,1,four,sedan,0,1,0,rwd,104.5,187.8,66.5,54.1,3131,dohc,six,171,mpfi,3.27,3.35,9.2,156,5200,20,24,1,Training,15690
75,Toyota,0,0,0,1,0,gas,std,1,four,wagon,0,0,1,rwd,104.5,187.8,66.5,54.1,3151,dohc,six,161,mpfi,3.27,3.35,9.2,156,5200,19,24,1,Validation,15750
76,Volvo,0,0,0,0,1,gas,std,1,four,sedan,0,1,0,rwd,104.3,188.8,67.2,56.2,2912,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,23,28,1,Training,12940
77,Volvo,0,0,0,0,1,gas,std,1,four,wagon,0,0,1,rwd,104.3,188.8,67.2,57.5,3034,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,23,28,1,Training,13415
78,Volvo,0,0,0,0,1,gas,std,1,four,sedan,0,1,0,rwd,104.3,188.8,67.2,56.2,2935,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,24,28,1,Training,15985
79,Volvo,0,0,0,0,1,gas,std,1,four,wagon,0,0,1,rwd,104.3,188.8,67.2,57.5,3042,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,24,28,1,Training,16515
80,Volvo,0,0,0,0,1,gas,turbo,0,four,sedan,0,1,0,rwd,104.3,188.8,67.2,56.2,3045,ohc,four,130,mpfi,3.62,3.15,7.5,162,5100,17,22,1,Training,18420
81,Volvo,0,0,0,0,1,gas,turbo,0,four,wagon,0,0,1,rwd,104.3,188.8,67.2,57.5,3157,ohc,four,130,mpfi,3.62,3.15,7.5,162,5100,17,22,1,Training,18950
82,Volvo,0,0,0,0,1,gas,std,1,four,sedan,0,1,0,rwd,109.1,188.8,68.9,55.5,2952,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,23,28,1,Training,16845
83,Volvo,0,0,0,0,1,gas,turbo,0,four,sedan,0,1,0,rwd,109.1,188.8,68.8,55.5,3049,ohc,four,141,mpfi,3.78,3.15,8.7,160,5300,19,25,1,Training,19045
84,Volvo,0,0,0,0,1,gas,std,1,four,sedan,0,1,0,rwd,109.1,188.8,68.9,55.5,3012,ohcv,six,173,mpfi,3.58,2.87,8.8,134,5500,18,23,1,Training,21485
85,Volvo,0,0,0,0,1,diesel,turbo,0,four,sedan,0,1,0,rwd,109.1,188.8,68.9,55.5,3217,ohc,six,145,idi,3.01,3.4,23,106,4800,26,27,1,Training,22470
86,Volvo,0,0,0,0,1,gas,turbo,0,four,sedan,0,1,0,rwd,109.1,188.8,68.9,55.5,3062,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,19,25,1,Training,22625
